Date,Predicted Volatility,Predicted Max Drawdown,Predicted Sharpe Ratio
,4.3897862,4.665492,39.61377
,4.3895917,4.66527,39.61619
,4.3895245,4.66497,39.61812
,4.389454,4.6647954,39.6198
,4.3894086,4.6644616,39.62067
,4.389338,4.6642995,39.622322
,4.389334,4.664349,39.623936
,4.3893824,4.6644654,39.625553
,4.389448,4.6644993,39.626923
,4.3894954,4.6645317,39.627853
,4.389522,4.6645255,39.628674
,4.3895144,4.6642766,39.62858
,4.389412,4.6636567,39.62748
,4.389209,4.6630406,39.626015
,4.388894,4.6609063,39.620113
,4.388164,4.658209,39.61123
,4.387209,4.6549973,39.600292
,4.386117,4.6518235,39.587532
,4.385203,4.651265,39.58035
,4.3850255,4.651339,39.57496
,4.385165,4.6514006,39.569653
,4.38538,4.651114,39.563583
,4.385538,4.6511617,39.55874
,4.3856645,4.6500463,39.551254
,4.3855786,4.650489,39.547764
,4.3857903,4.6506424,39.544796
,4.3859773,4.6510377,39.54246
,4.386204,4.6512594,39.540504
,4.3863654,4.651255,39.53867
,4.38648,4.651586,39.538063
,4.386639,4.65182,39.53757
,4.386738,4.6516094,39.536003
,4.3867445,4.6518927,39.53554
,4.386826,4.6520205,39.534744
